Valores en miles de pesos nominales (M$) de cada año.,,,,,
,,ICAR007 (TAS) Densidad de Población por Km2,"ICAR004 (N°) Población Comunal, Estimada por el INE",ITPR (N°) Población Rural,ITPU (N°) Población Urbana
CODIGO,MUNICIPIO,2019,2019,2019,2019
1101,IQUIQUE,95.72,216514,2403,189065
1107,ALTO HOSPICIO,216.67,124150,2491,105884
1401,POZO ALMONTE,1.21,16683,5616,10095
1402,CAMIÑA,0.61,1345,1250,No Recepcionado
1403,COLCHANE,0.39,1556,1728,No Recepcionado
1404,HUARA,0.28,2914,1621,1109
1405,PICA,0.64,5744,5384,3912
2101,ANTOFAGASTA,13.37,410618,7769,354104
2102,MEJILLONES,3.72,14143,513,12954
2103,SIERRA GORDA,0.13,1690,10186,No Recepcionado
2104,TALTAL,0.66,13371,2194,11123
2201,CALAMA,11.8,184036,7244,158487
2202,OLLAGÜE,0.1,284,321,No Recepcionado
2203,SAN PEDRO DE ATACAMA,0.43,10013,5472,5524
2301,TOCOPILLA,6.85,27659,555,24631
2302,MARÍA ELENA,0.55,6749,1532,4925
3101,COPIAPÓ,10.16,169528,2975,150962
3102,CALDERA,4.1,19149,1887,15775
3103,TIERRA AMARILLA,1.27,14187,4084,9935
3201,CHAÑARAL,2.27,13123,1136,11083
3202,DIEGO DE ALMAGRO,0.77,14408,670,13255
3301,VALLENAR,7.98,56544,5898,46019
3302,ALTO DEL CARMEN,0.96,5677,5299,No Recepcionado
3303,FREIRINA,2.12,7589,2452,4589
3304,HUASCO,6.93,11102,1247,8902
4101,LA SERENA,128.99,244170,20414,200640
4102,COQUIMBO,175.61,250947,13180,214550
4103,ANDACOLLO,37.84,11730,1036,10008
4104,LA HIGUERA,1.06,4408,2948,1293
4105,PAIGUANO,3.11,4645,4497,No Recepcionado
4106,VICUÑA,3.86,29402,10778,16993
4201,ILLAPEL,12.4,32610,9796,21052
4202,CANELA,4.33,9516,7133,1960
4203,LOS VILOS,12.36,23011,4288,17094
4204,SALAMANCA,8.35,28772,12544,16803
4301,OVALLE,31.27,119936,23733,87539
4302,COMBARBALÁ,7.3,13834,7324,5998
4303,MONTE PATRIA,7.41,32352,15413,15338
4304,PUNITAQUI,8.98,12021,5108,5848
4305,RÍO HURTADO,2.07,4372,4278,No Recepcionado
5101,VALPARAÍSO,779.07,313185,737,295918
5102,CASABLANCA,30.14,28722,8865,18002
5103,CONCÓN,593.7,45121,2743,39409
5104,JUAN FERNÁNDEZ,6.82,1010,926,No Recepcionado
5105,PUCHUNCAVÍ,65.63,19688,2687,15859
5107,QUINTERO,238.79,35341,5039,26884
5109,VIÑA DEL MAR,2928.1,357228,No Recepcionado,334248
5201,ISLA DE PASCUA,49.23,8073,428,7322
5301,LOS ANDES,54.15,67583,5691,61017
5302,CALLE LARGA,50.02,16107,4141,10691
5303,RINCONADA,89.51,11010,2142,8065
5304,SAN ESTEBAN,14.89,20276,7483,11372
5401,LA LIGUA,32.17,37411,9381,26009
5402,CABILDO,14.13,20554,7215,12173
5403,PAPUDO,36.86,6118,942,5414
5404,PETORCA,6.92,10495,5723,4103
5405,ZAPALLAR,27.31,7866,2326,5013
5501,QUILLOTA,318.91,96310,12186,78331
5502,CALERA,873.74,53298,1886,48668
5503,HIJUELAS,70.88,18924,6253,11735
5504,LA CRUZ,314.92,24564,2646,19452
5506,NOGALES,57.67,23356,3341,18779
5601,SAN ANTONIO,236.9,95946,4781,86569
5602,ALGARROBO,84.45,14863,2918,10899
5603,CARTAGENA,100.94,24832,1892,20846
5604,EL QUISCO,340.53,17367,1088,14867
5605,EL TABO,141.8,14038,671,12615
5606,SANTO DOMINGO,21.83,11703,4684,6216
5701,SAN FELIPE,442.54,82312,7227,69617
5702,CATEMU,41.5,15023,6185,7813
5703,LLAILLAY,75.16,26232,6636,17972
5704,PANQUEHUE,61.91,7553,3467,3806
5705,PUTAENDO,11.85,17471,10020,6734
5706,SANTA MARÍA,97.29,16150,5453,9788
5801,QUILPUÉ,306.86,164783,2112,149596
5802,LIMACHE,167.64,49285,6952,39169
5803,OLMUÉ,81.66,18946,5239,12277
5804,VILLA ALEMANA,1409.39,136711,1221,125327
6101,RANCAGUA,1007.66,261992,7591,234183
6102,CODEGUA,48.48,13914,5969,7019
6103,COINCO,79.11,7753,3935,3424
6104,COLTAUCO,93.2,20971,8386,11211
6105,DOÑIHUE,286.99,22385,4463,16424
6106,GRANEROS,318.14,35950,3616,29821
6107,LAS CABRAS,35.25,26403,15062,9578
6108,MACHALÍ,22.58,58398,1001,51504
6109,MALLOA,124.61,14081,7949,5458
6110,MOSTAZAL,51.72,27100,4389,20954
6111,OLIVAR,321.78,14480,4320,9288
6112,PEUMO,97.27,14882,2313,12000
6113,PICHIDEGUA,64.32,20581,10411,9303
6114,QUINTA DE TILCOCO,147.6,13727,5724,7278
6115,RENGO,106.35,62958,12879,45946
6116,REQUINOA,44.46,29922,11685,16283
6117,SAN VICENTE,105.08,50016,20557,26209
6201,PICHILEMU,23.48,17584,3491,12903
6202,LA ESTRELLA,7.14,3107,1908,1133
6203,LITUECHE,10.81,6694,2926,3368
6204,MARCHIHUE,11.49,7581,3987,3321
6205,NAVIDAD,22.73,6818,6641,No Recepcionado
6206,PAREDONES,11.3,6353,4346,1842
6301,SAN FERNANDO,31.86,77763,10261,63712
6302,CHÉPICA,31.44,15816,6391,8646
6303,CHIMBARONGO,75.07,37386,14913,20486
6304,LOLOL,12.11,7227,4382,2429
6305,NANCAGUA,170.58,18934,6493,11340
6306,PALMILLA,55.57,13169,9018,3464
6307,PERALILLO,41.43,11725,4370,6637
6308,PLACILLA,61.86,9093,6363,2375
6309,PUMANQUE,8.01,3531,3421,No Recepcionado
6310,SANTA CRUZ,96.6,40574,15031,22824
7101,TALCA,1011.71,234717,9441,210916
7102,CONSTITUCIÓN,37.31,50148,8795,37273
7103,CUREPTO,8.82,9477,6059,3389
7104,EMPEDRADO,7.44,4204,1134,3008
7105,MAULE,241.37,57447,10887,38834
7106,PELARCO,27.05,8979,5835,2587
7107,PENCAHUE,8.96,8571,4807,3438
7108,RÍO CLARO,33.93,14623,9493,4413
7109,SAN CLEMENTE,10.16,45755,21603,21666
7110,SAN RAFAEL,37.22,9825,4223,4968
7201,CAUQUENES,20.68,43962,7327,33114
7202,CHANCO,17.6,9327,5007,3921
7203,PELLUHUE,21.52,7983,3490,4081
7301,CURICÓ,121.4,161223,16567,132569
7302,HUALAÑÉ,16.21,10196,3914,5743
7303,LICANTÉN,25.54,6973,1688,4965
7304,MOLINA,31.64,49109,8658,37318
7305,RAUCO,35.9,11094,4953,5531
7306,ROMERAL,9.98,15946,8658,6529
7307,SAGRADA FAMILIA,35.24,19348,10658,7886
7308,TENO,49.38,30519,19389,9532
7309,VICHUQUÉN,10.31,4390,3132,1190
7401,LINARES,68.27,100077,15930,77672
7402,COLBÚN,7.68,22279,11713,9052
7403,LONGAVÍ,22.36,32516,21287,9247
